inchikey,SMILES,Kingdom,Superclass,Class,Subclass
MMRLDKZTTIAAKW-UHFFFAOYSA-N,CCCC1=CC(=O)OC2=CC(=C(C=C12)Cl)OC(=O)C(CCSC)NC(=O)OC(C)(C)C,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
JKUDIEXTAYKJNX-UHFFFAOYSA-N,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCCC(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
PTANEMHWZGESKG-UHFFFAOYSA-N,CC(C)(C)NC(=O)C1CCCN1C(C2CC2)C(=O)NC,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
MGOUENCSVMAGSE-SSDOTTSWSA-N,C1=CC(=CC(=C1)Cl)C(C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
UIFCMNRIWMDBJS-UHFFFAOYSA-N,C1=CC=C(C=C1)CC(C(=O)NC(CCC(=O)N)C(=O)NCC(=O)O)N2C(=O)C3=CC=CC=C3NC2=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
YGEAYTZWFNXSGN-UHFFFAOYSA-N,CC(C)CC(C(=O)NC(CC1=CN=CN1)C(=O)NC(CO)C(=O)NC(C(C)OP(=O)(O)O)C(=O)NC(C)C(=O)N)NC(=O)C2CCCN2C(=O)C3CCCN3,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
ZZOYWHSOWVARFV-UHFFFAOYSA-N,CC1(CSCN1N=O)C(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
CBIVSVOVPJAVRE-ZDUSSCGKSA-N,CC1=CC=C(C=C1)S(=O)(=O)NC(C)C(=O)OC2=CNC3=CC=CC=C32,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
UGCXWVUSHLHZJY-UHFFFAOYSA-N,CCC(C)C(C(=O)NC(CO)C(=O)NC(CC(=O)N)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(C(C)CC)C(=O)O)NC(=O)C(CC(C)C)NC(=O)CN,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
PYZKOIZVQCSZBO-NRFANRHFSA-N,CCCCCCN(CCCCCC)C(=O)C1CCC(=O)N1C(=O)C2=CC=CC=C2,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
YLPQKVUENIXIQH-UHFFFAOYSA-N,CSCCC(C(=O)OC1=CC2=C(C=C1)C3=C(CCC3)C(=O)O2)NC(=O)OCC4=CC=CC=C4,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
BXMRXDUFKJYBNH-UHFFFAOYSA-N,C1CCC(CC1)N2C(=O)C3C(CCN3)N(C2=O)CC4=CC=CS4,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
AZRBPFMOOFRFRA-UHFFFAOYSA-N,CC1(C2CCC(O1)(C(C2)NC(=O)CN3CCOCC3)C)C,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
CWNDJFUYFUFZRU-UHFFFAOYSA-N,CCC(C)C1C2=NC(=C(O2)C)C(=O)NC(C(=O)N3CCCC3C4=NC(=CO4)C(=O)NC(C(=O)N5CCCC5C(=O)N6CCCC6C(=O)N1)C)CC7=CC=C(C=C7)OCC=C(C)C,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
NUCLJNSWZCHRKL-UHFFFAOYSA-N,C(C(=O)O)(NC(=O)N)NC(=O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
PWCMDZUAQPMAHW-UHFFFAOYSA-N,CC(C)(C)OC(=O)NCCCF,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
ONLWPAAKHZOXHR-UHFFFAOYSA-N,CC(C)CC(C(=O)NC(C(C)C)C(=O)O)NC(=O)C1=CC=CC2=C1C3=CC=CC=C3C2=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
NAEBSNBHOZLKPM-UHFFFAOYSA-N,CC(C)(C)OCC(C(=O)NCC(=O)NCC1=CC=C(C=C1)C(=N)N)NS(=O)(=O)CC2=CC=CC=C2,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
JVUZKPZCNMLPKS-UHFFFAOYSA-N,CC(C)CCCC(C)NC(=O)CCNC(=O)CN1C=NC2=CC(=C(C=C2C1=O)OC)OC,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
KDGSVMQRTUAIDO-UHFFFAOYSA-N,CCNCCC(=O)OC,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
LXBMCXWDRVCTSF-UHFFFAOYSA-N,CCC(C)C1C(=O)NCC(=O)N2CCCC2C(=O)NCC(=O)NC(C(=O)NC(C(=O)N3CCCC3C(=O)N1)C(C)C)CC(C)C,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
OFEONCRDIBQIKF-UHFFFAOYSA-N,C(CC(=O)O)C(CNC(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
UNGGUDVTYJQGPU-UHFFFAOYSA-N,CCCCC(CC)COC(=O)NC(CC)(C(F)(F)F)C(F)(F)F,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
SGSMSXWFVXNLOG-UHFFFAOYSA-N,CCCCCC=CCCC(=O)OC1C(C(C(OC1NC2=C3C=C4C=C2OC5=C(C=C(C=C5)C(C6C(=O)NC(C7=C(C(=CC(=C7)O)OC8C(C(C(C(O8)CO)O)O)O)C9=C(C=CC(=C9)C(C(=O)N6)NC(=O)C4NC(=O)C1C2=CC(=CC(=C2)OC2=C(C=CC(=C2)C(C(=O)NC(CC2=CC(=C(O3)C=C2)Cl)C(=O)N1)N)O)O)O)C(=O)O)OC1C(C(C(C(O1)CO)O)O)NC(=O)C)Cl)CO)O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
ULQSJZCOGIJGIU-UHFFFAOYSA-N,CC1=CC2=C(C(=C(C(=O)O2)C)C)C(=C1)OC(=O)CCCNC(=O)OCC3=CC=CC=C3,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
OYIZGPZUAMNZMB-UHFFFAOYSA-N,COC(=O)C(C1=CC(=C(C=C1)F)F)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
XWAXJAIBRHWNMP-UHFFFAOYSA-N,CC1C(=O)NC2CC3=C(NC4=CC=CC=C34)SCC(C(=O)N5CC(CC5C(=O)N1)O)NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CC6(SCC(S6)CNC(=O)CCSSC7=CC=CC=N7)C)C)C(C)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
BSWFMEBVZOTECQ-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)NC(=O)C23CCC(=O)N2C4=CC=CC=C4C(=O)N3C,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
SBNUYFPHGYZBSJ-UHFFFAOYSA-N,COC(=O)C(CC1=CC=CC=C1)NC(=O)N2CCC3=C(C2C4=CC=CC=N4)N=CN3,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HVQDXNFVVVKJPV-VKKANWSESA-N,CC(C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(COCC2=CC=CC=C2)C(=O)O)NC(=O)C(CC3=CC=C(C=C3)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
ZDQDVTNWPJFFMF-UHFFFAOYSA-N,CC(C)C(C(=O)NC(C)C(=O)NC(CO)C(=O)N1CCCC1C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NCC(=O)NC(C(C)C)C(=O)O)NC(=O)C(CCCN=C(N)N)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
ILROAJALIUHYSA-UHFFFAOYSA-N,C1CN(CCC12SCCS2)C(=O)CC3C4=CC=CC=C4C(=O)N3C5=NC6=C(C=C5)C=CC(=N6)Cl,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
QBDRECKUDUUQCL-UHFFFAOYSA-N,C1CCC(C1)N2C(=O)C3C(NC4(C3C2=O)C5=CC=CC=C5NC4=O)CC6=CC=CC=C6,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
SQYIAIOWZXIXEK-UHFFFAOYSA-N,CCCCOC1=CC=C(C=C1)NC(=O)C(CCSC)NC(=O)N2CC3CC(C2)C4=CC=CC(=O)N4C3,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
FGDBOEBTDRUGLL-UHFFFAOYSA-N,CN1C=NC2=C1CN(C(C2)C(=O)OC)C(=O)C3=CC=C(C=C3)N(C)C,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
GCZJZWBLNHVJPU-UHFFFAOYSA-N,CCC1=CC(=O)OC2=C1C(=CC(=C2)C)OCC(=O)NCC(=O)NCC(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
JJMFTNSMJIWKFJ-UHFFFAOYSA-N,COC(=O)C(CCSC)NC(=O)C1=CN(C(=O)C2=CC=CC=C21)C3=CC=CC=N3,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
BPIFSOUEUYDJRM-UHFFFAOYSA-N,CC(C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CC3=CC=CC=C3)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
WYVQKYVITQEIME-UHFFFAOYSA-N,CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC1(COC1)CC(=O)O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HQGPKMSGXAUKHT-UHFFFAOYSA-N,COC(=O)C1CCC(=O)N1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
AQGCSVBPRRQXIN-UHFFFAOYSA-N,C1C=CC(C(C1=O)N)C(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
QRTGMFJIAAHXDZ-UHFFFAOYSA-N,C1CCC2C(C1)CC(N2)C(=O)N(C(CCCN=C(N)N)C(=O)O)C(=O)C(CC3=CC=CC=C3)NC(=O)C(CO)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
